fold,layer,mae,r2
1,0,2.026475429534912,-0.00017642974853515625
1,1,1.1267461776733398,0.6624407768249512
1,2,1.0559074878692627,0.7049912214279175
1,3,1.0239588022232056,0.7220183610916138
1,4,1.0530052185058594,0.7085492610931396
1,5,1.0668295621871948,0.7047597169876099
1,6,1.082077145576477,0.6938864588737488
1,7,1.09723699092865,0.6847150325775146
1,8,1.0847386121749878,0.6952000260353088
1,9,1.0851190090179443,0.6955252289772034
1,10,1.1027148962020874,0.6857093572616577
1,11,1.1398905515670776,0.6670048236846924
1,12,1.1984537839889526,0.6274356245994568
2,0,1.9982647895812988,-1.4781951904296875e-05
2,1,1.127454161643982,0.6660711765289307
2,2,1.0532112121582031,0.7084619998931885
2,3,1.0297651290893555,0.7177200317382812
2,4,1.0616673231124878,0.6992685198783875
2,5,1.066466212272644,0.6992648243904114
2,6,1.0775517225265503,0.690679669380188
2,7,1.094210147857666,0.6836985349655151
2,8,1.1006242036819458,0.6822580099105835
2,9,1.0866867303848267,0.6805411577224731
2,10,1.1127487421035767,0.6737378835678101
2,11,1.1479755640029907,0.6547627449035645
2,12,1.2179237604141235,0.6142117381095886
3,0,2.017071485519409,-0.0004177093505859375
3,1,1.125383973121643,0.6628426909446716
3,2,1.051283836364746,0.7089276909828186
3,3,1.0132144689559937,0.7259206771850586
3,4,1.0410780906677246,0.7143570184707642
3,5,1.0519909858703613,0.7040746212005615
3,6,1.0708926916122437,0.6942907571792603
3,7,1.1084752082824707,0.6751091480255127
3,8,1.0993096828460693,0.6805170774459839
3,9,1.099311113357544,0.6776533722877502
3,10,1.1170518398284912,0.667528510093689
3,11,1.1240220069885254,0.6632348299026489
3,12,1.2035136222839355,0.6160649657249451
4,0,1.991406798362732,-0.0005643367767333984
4,1,1.1168427467346191,0.6678469181060791
4,2,1.0430415868759155,0.7147783041000366
4,3,1.0074337720870972,0.7355333566665649
4,4,1.0417691469192505,0.7138432264328003
4,5,1.038274884223938,0.7136019468307495
4,6,1.0559391975402832,0.699387788772583
4,7,1.1017125844955444,0.6770832538604736
4,8,1.0868746042251587,0.6823599338531494
4,9,1.0861390829086304,0.6847272515296936
4,10,1.1037007570266724,0.6777908205986023
4,11,1.1259729862213135,0.663426399230957
4,12,1.1932214498519897,0.6211869120597839
5,0,2.028195381164551,-4.00543212890625e-05
5,1,1.1434694528579712,0.6609266996383667
5,2,1.0484578609466553,0.7132889032363892
5,3,1.0147840976715088,0.734673798084259
5,4,1.0431970357894897,0.7169722318649292
5,5,1.0536969900131226,0.7129356861114502
5,6,1.0601469278335571,0.7061953544616699
5,7,1.0942357778549194,0.687988817691803
5,8,1.0945247411727905,0.6844450831413269
5,9,1.085267186164856,0.6896637678146362
5,10,1.118837594985962,0.6696308851242065
5,11,1.1414002180099487,0.6594457030296326
5,12,1.207895278930664,0.6231667399406433
