fold,layer,mae,r2
1,0,0.7302069067955017,-4.4465065002441406e-05
1,1,0.5569391846656799,0.47594451904296875
1,2,0.542960524559021,0.50669264793396
1,3,0.5302407741546631,0.5319427251815796
1,4,0.5303096771240234,0.5269251465797424
1,5,0.5349404811859131,0.513981282711029
1,6,0.539362370967865,0.5133797526359558
1,7,0.5416401028633118,0.5079597234725952
1,8,0.5294061899185181,0.5209753513336182
1,9,0.5302618145942688,0.5250751972198486
1,10,0.5386639833450317,0.5114156007766724
1,11,0.5422488451004028,0.5002931356430054
1,12,0.5712838172912598,0.45250141620635986
2,0,0.7371888756752014,-1.2278556823730469e-05
2,1,0.5562239289283752,0.4911039471626282
2,2,0.5280207991600037,0.5302382111549377
2,3,0.5154491066932678,0.5562437772750854
2,4,0.517629086971283,0.552182674407959
2,5,0.5268688797950745,0.5364075899124146
2,6,0.5321680903434753,0.5275838375091553
2,7,0.5331670045852661,0.5340695381164551
2,8,0.5284554958343506,0.5353096723556519
2,9,0.5268228054046631,0.5361405611038208
2,10,0.5251018404960632,0.5355297923088074
2,11,0.5343121886253357,0.5218791365623474
2,12,0.5604022145271301,0.4817807674407959
3,0,0.7655197381973267,-0.0002722740173339844
3,1,0.556298017501831,0.5075041651725769
3,2,0.5315268039703369,0.5447627305984497
3,3,0.5184088945388794,0.5662940740585327
3,4,0.5167152285575867,0.5678669214248657
3,5,0.5326389670372009,0.5422540903091431
3,6,0.53025883436203,0.5407847762107849
3,7,0.5389545559883118,0.5302017331123352
3,8,0.5313631296157837,0.5410803556442261
3,9,0.5275942087173462,0.5441240668296814
3,10,0.5387660264968872,0.531389594078064
3,11,0.5435328483581543,0.5229065418243408
3,12,0.5651366710662842,0.4835132956504822
4,0,0.74300217628479,-0.0004426240921020508
4,1,0.5483479499816895,0.4859105348587036
4,2,0.5352151989936829,0.5113017559051514
4,3,0.5206467509269714,0.5458699464797974
4,4,0.5199036598205566,0.5383880138397217
4,5,0.5147004723548889,0.5472877025604248
4,6,0.5197173953056335,0.5412880778312683
4,7,0.5287877917289734,0.5301966667175293
4,8,0.5203646421432495,0.5363770723342896
4,9,0.5171098709106445,0.5372145175933838
4,10,0.5241246223449707,0.531463623046875
4,11,0.5309693217277527,0.5175307989120483
4,12,0.5526820421218872,0.4812932014465332
5,0,0.74798583984375,-3.4809112548828125e-05
5,1,0.551548957824707,0.49832457304000854
5,2,0.5214324593544006,0.5505977869033813
5,3,0.5074799656867981,0.5787085294723511
5,4,0.5076987147331238,0.5691007375717163
5,5,0.5081759691238403,0.5682992339134216
5,6,0.5164647698402405,0.5624301433563232
5,7,0.5185847282409668,0.5600894093513489
5,8,0.5126753449440002,0.56561279296875
5,9,0.5088315010070801,0.5699092745780945
5,10,0.5134182572364807,0.5607657432556152
5,11,0.5261940956115723,0.5472009181976318
5,12,0.5509476661682129,0.5040984153747559
